pop,iter,gen_num,C,Gamma,cv_score,time,log_loss,accuracy
10,5,3,0.775884654012,0.74133410115,-2.37198921686,1.0371417999267578,1.63938664665,0.735294117647
10,10,4,0.862755498796,0.61261963464,-2.37586130078,2.65014910697937,1.3003485922,0.735294117647
10,20,3,0.854878736263,0.650105833507,-2.37286449903,8.341971397399902,1.5174686821,0.735294117647
10,50,18,0.828379051217,0.838093812492,-2.35137829268,45.7347993850708,1.30056271278,0.735294117647
10,100,98,0.990735462977,0.642567735654,-2.34651199177,195.91423773765564,1.36165933778,0.725490196078
20,5,0,0.991200660143,0.676812313237,-2.36409583842,1.4385056495666504,1.24228450878,0.725490196078
20,10,8,0.882011956373,0.521155832916,-2.37074152716,4.114156246185303,1.44095307277,0.71568627451
20,20,3,0.810099008813,0.792571497069,-2.34320031538,12.14023494720459,1.43647637451,0.735294117647
20,50,45,0.965560785918,0.883801135212,-2.33628411252,59.95099711418152,1.2897188778,0.725490196078
20,100,33,0.8587482642,0.900307677405,-2.33806348755,224.51806950569153,1.2992998165,0.725490196078
50,5,0,0.954712213117,0.960456086582,-2.32646587707,3.3065128326416016,1.25481702288,0.71568627451
50,10,1,0.559278763457,0.921178793322,-2.34933124966,9.540772914886475,1.41386203752,0.705882352941
50,20,15,0.910123476877,0.756722650385,-2.35223890085,28.680133819580078,1.29743020996,0.735294117647
50,50,43,0.906264850055,0.769171528478,-2.34304964168,140.99272537231445,1.33514716383,0.735294117647
50,100,55,0.859524259807,0.832056379345,-2.33938394769,536.9173097610474,1.2535158229,0.735294117647
100,5,3,0.822392885942,0.539237120369,-2.3516540121,5.9228034019470215,1.38394282283,0.71568627451
100,10,1,0.826309297896,0.77978387401,-2.34196382164,16.23588275909424,1.33500502118,0.735294117647
100,20,8,0.951889641283,0.80994086992,-2.32568360926,67.41077947616577,1.337456729,0.725490196078
100,50,7,0.873936748252,0.837695828911,-2.332778583,322.5403141975403,1.37504682279,0.735294117647
100,100,97,0.941285704227,0.895355827159,-2.32213737224,1014.9881503582001,1.33596634362,0.725490196078
200,5,0,0.964846699351,0.939523091626,-2.34132661162,11.841064691543579,1.40285623592,0.71568627451
200,10,0,0.92464325265,0.871136042528,-2.33981148077,31.1723313331604,1.2988598626,0.725490196078
200,20,5,0.886384504071,0.8700402116,-2.33449648469,106.72182583808899,1.3041145499,0.725490196078
200,50,41,0.87411611213,0.769028496653,-2.33595185671,529.8511400222778,1.36147186591,0.745098039216
200,100,79,0.890946954388,0.897066133912,-2.32554609219,1911.6473541259766,1.32550260926,0.725490196078
10,5,3,0.583312727008,0.876033177611,-2.37607058926,0.8971929550170898,1.58624380153,0.696078431373
10,10,5,0.617034232799,0.555163300335,-2.37722676976,2.518450975418091,1.44849081124,0.676470588235
10,20,8,0.507644059202,0.930632304204,-2.36526479969,8.425681352615356,1.56783715172,0.676470588235
10,50,13,0.502327798989,0.908584146577,-2.34850432823,45.34663963317871,1.42304651012,0.676470588235
10,100,93,0.705662715972,0.6975876027,-2.32825787566,173.70131468772888,1.36172585528,0.696078431373
20,5,4,0.813933400256,0.801347181681,-2.3447127367,1.3634717464447021,1.62425418404,0.725490196078
20,10,4,0.677449980056,0.643676972795,-2.35109421535,3.768543004989624,1.5156123501,0.705882352941
20,20,3,0.444417428178,0.859860942464,-2.34965659028,11.454435110092163,1.81734059429,0.656862745098
20,50,11,0.829294202439,0.660869703418,-2.3528076623,64.18325161933899,1.37605592801,0.725490196078
20,100,30,0.735298038722,0.649867410615,-2.32735822019,243.71907377243042,1.39043218773,0.705882352941
50,5,4,0.757886297016,0.571231478406,-2.34052421956,3.091980457305908,1.41365168771,0.696078431373
50,10,6,0.635529919793,0.421360269885,-2.36809141226,8.909377813339233,1.74856247358,0.676470588235
50,20,12,0.750385631384,0.592300531389,-2.35327232667,32.53893256187439,1.39806067111,0.705882352941
50,50,14,0.511787631094,0.710659648,-2.35680408437,179.27789068222046,1.6472142008,0.686274509804
50,100,78,0.720231832734,0.63146360717,-2.29597223891,571.7822353839874,1.49070266862,0.705882352941
100,5,0,0.997353095853,0.755966540764,-2.3479598171,7.535839557647705,1.49958986138,0.735294117647
100,10,2,0.502407361507,0.702068793342,-2.36261070666,18.345027685165405,1.60098974557,0.686274509804
100,20,8,0.731288865756,0.759371742823,-2.322590623,52.28400659561157,1.42281434956,0.71568627451
100,50,38,0.693835137406,0.579956254569,-2.31813814534,303.40382409095764,1.50348380221,0.686274509804
100,100,35,0.657950546687,0.540167054021,-2.30561558156,977.433559179306,1.38964101103,0.676470588235
200,5,1,0.864374893437,0.66276935884,-2.34940934873,11.241453647613525,1.32791546034,0.725490196078
200,10,1,0.72737013581,0.725454984948,-2.32261959584,29.464681148529053,1.38608484951,0.705882352941
200,20,9,0.728141980597,0.651474443801,-2.29934721762,89.0917010307312,1.4663667667,0.705882352941
200,50,8,0.731326808964,0.633241726821,-2.29873625943,553.3871757984161,1.47921215051,0.705882352941
200,100,46,0.694775799051,0.591154869541,-2.30019811857,2141.8132014274597,1.47327748399,0.696078431373
10,5,0,0.498917481653,0.238894645841,-2.31861351694,1.1711835861206055,1.79733152854,0.588235294118
10,10,2,0.95193371495,0.772283768854,-2.24888541251,3.39047908782959,1.31659875418,0.71568627451
10,20,1,0.789686789252,0.865127339639,-2.28458384015,8.46908187866211,1.36244494732,0.71568627451
10,50,23,0.522147593001,0.897802897484,-2.25852365614,45.35758352279663,1.59883175772,0.696078431373
10,100,18,0.778453304393,0.903626553318,-2.24918961163,215.56131196022034,1.59746615285,0.71568627451
20,5,3,0.734826429541,0.792028132103,-2.26731571421,1.7957842350006104,1.53066429537,0.705882352941
20,10,8,0.773557379255,0.940155643101,-2.24916583132,4.153367280960083,1.421808861,0.725490196078
20,20,9,0.809571694322,0.948005093488,-2.266422082,13.489172458648682,1.64419633604,0.725490196078
20,50,23,0.74388771598,0.929618449417,-2.25420655943,72.13147640228271,1.46062783,0.71568627451
20,100,69,0.912511833408,0.830733719285,-2.23609955549,254.93225574493408,1.4112957772,0.71568627451
50,5,1,0.83545997821,0.765407966456,-2.27270332448,3.058607339859009,1.40911514667,0.725490196078
50,10,8,0.66156164118,0.801659118905,-2.2844973976,8.801506519317627,1.47615212325,0.705882352941
50,20,10,0.678544338632,0.862862395284,-2.25946747858,32.008339166641235,1.40237098323,0.705882352941
50,50,33,0.773089930044,0.897323529901,-2.24552085325,168.93428754806519,1.69730883687,0.71568627451
50,100,7,0.735145496264,0.95018119573,-2.24520576892,647.4415037631989,1.53562154236,0.71568627451
100,5,4,0.874355976108,0.666244667429,-2.2865993251,6.5765221118927,1.44390380474,0.696078431373
100,10,4,0.865062634896,0.883355220715,-2.22806253858,17.770358562469482,1.33912190353,0.71568627451
100,20,14,0.75864623998,0.753037518693,-2.23595646738,55.477896213531494,1.87129787955,0.71568627451
100,50,15,0.720993117526,0.853719377743,-2.23446597806,267.0302617549896,1.38604941091,0.71568627451
100,100,33,0.677531893756,0.736064862942,-2.23455651542,953.5567991733551,1.45304977907,0.705882352941
200,5,2,0.838728057379,0.84432327958,-2.2574527108,11.791914939880371,1.3966787696,0.71568627451
200,10,7,0.746672083335,0.794965675287,-2.24536850661,35.854647159576416,1.40335715877,0.705882352941
200,20,1,0.782965986922,0.882653411708,-2.24426682494,104.80464792251587,1.43370496925,0.71568627451
200,50,43,0.724877151106,0.833312818599,-2.23384105623,463.2323830127716,1.42213033537,0.71568627451
200,100,64,0.71025361009,0.814443318494,-2.2342693403,1813.2471957206726,1.66805603279,0.705882352941
