pop,iter,gen_num,C,Gamma,cv_score,time,log_loss,accuracy
200,5,4,8.52667776262,0.645125062639,-2.23939844391,13.145090103149414,1.16481846913,0.754901960784
200,10,1,6.62687595448,0.769886417091,-2.2504347312,33.55680227279663,1.18525397949,0.754901960784
200,20,19,6.14983080048,1.0677800357,-2.26003997713,92.77827620506287,1.21991557169,0.754901960784
200,50,3,8.68597697451,0.556309419634,-2.22373880968,466.94564485549927,1.22222864803,0.754901960784
200,100,37,6.18029656087,1.00577727617,-2.25525049659,2257.438207387924,1.21482783032,0.745098039216
10,5,2,4.21096893067,2.34623189225,-2.29524286643,1.560915231704712,1.33049093475,0.794117647059
10,10,2,1.98424227386,2.91748973425,-2.28393659672,4.0067055225372314,1.27535548778,0.774509803922
10,20,19,4.2080153392,4.06562301206,-2.2931459649,12.567656517028809,1.30821669429,0.78431372549
10,50,36,7.86615025831,1.73791067887,-2.2827422715,65.60998058319092,1.3596325061,0.803921568627
10,100,3,5.30485690775,2.09013130115,-2.28018317371,247.64563393592834,1.33553238779,0.78431372549
20,5,0,4.42924897617,3.73829928242,-2.29579866425,2.0214078426361084,1.32182636421,0.78431372549
20,10,2,7.80458177576,0.9972297563,-2.27187894807,6.547848463058472,1.28929363825,0.78431372549
20,20,4,5.3682155398,2.19170870068,-2.28156588765,25.519348859786987,1.3115874726,0.78431372549
20,50,46,2.82150981649,4.00808996492,-2.28215865072,129.87363600730896,1.33871679401,0.78431372549
20,100,65,4.50327026136,2.23091589009,-2.27314479929,398.37231063842773,1.30593315312,0.794117647059
50,5,1,3.87688561052,1.94429718669,-2.28734721713,7.016558408737183,1.31414775421,0.78431372549
50,10,6,5.42147470501,2.19137729402,-2.27483031032,17.707047939300537,1.32954964597,0.78431372549
50,20,19,3.87756512681,2.1867767817,-2.2784812644,45.61835169792175,1.2958721589,0.803921568627
50,50,6,4.43078183151,1.90558587371,-2.27681073006,194.4905276298523,1.32864434581,0.794117647059
50,100,68,7.0803055798,2.31639529249,-2.27472210793,614.5826847553253,1.2876434479,0.813725490196
100,5,4,4.79942890734,1.7119776539,-2.27948723605,7.441787481307983,1.29473710367,0.78431372549
100,10,5,3.86286793641,3.35175969481,-2.27992937016,19.627495050430298,1.36167592962,0.794117647059
100,20,12,6.05332740027,2.11896872566,-2.27338797406,57.95298957824707,1.34263797493,0.803921568627
100,50,33,5.85082160431,2.32958153066,-2.27191712829,313.4041471481323,1.40191029539,0.813725490196
100,100,9,3.82968040459,2.87718463245,-2.27097050264,1368.3518924713135,1.2908992282,0.78431372549
200,5,3,5.20124879299,1.92281021401,-2.26681892033,19.516562938690186,1.30811191947,0.794117647059
200,10,1,4.90984188509,1.2940516072,-2.26592603153,39.9625141620636,1.2918780411,0.764705882353
200,20,19,5.43434142004,1.97408017999,-2.26973799596,149.04397869110107,1.30993138591,0.794117647059
200,50,8,4.36290003369,2.37197840177,-2.26926738687,718.8816485404968,1.28732113591,0.794117647059
200,100,7,4.18053420309,2.66284459201,-2.2714372396,2143.9918398857117,1.34730662915,0.794117647059
10,5,4,5.34261727114,4.43536940794,-2.23186262959,0.9562935829162598,1.32716242864,0.745098039216
10,10,2,1.83129153193,3.6370944228,-2.23424642564,2.6296439170837402,1.34815025913,0.725490196078
10,20,4,3.18090797043,4.32707252649,-2.23303450863,8.715419292449951,1.29003354082,0.735294117647
10,50,8,4.5047426089,5.39171977941,-2.230553682,46.59912371635437,1.34454802913,0.705882352941
10,100,91,4.23019905002,4.45699205647,-2.22320441431,195.35035157203674,1.40807860036,0.735294117647
20,5,3,3.55404218049,3.49180192024,-2.23447058057,2.241905450820923,1.34002193852,0.735294117647
20,10,2,3.64260758208,3.52861973267,-2.23460118998,5.7654407024383545,1.27151612039,0.735294117647
20,20,6,3.32860523555,4.75434402532,-2.22592631859,16.68244695663452,1.40866557547,0.71568627451
20,50,10,2.59496507935,3.59997858056,-2.21940409886,69.54122638702393,1.27991437739,0.735294117647
20,100,41,3.77698673379,3.57583676152,-2.22102035218,248.45097875595093,1.3373456865,0.735294117647
50,5,2,1.27737871546,4.0728298264,-2.23436622665,5.4522082805633545,1.37682383404,0.71568627451
50,10,7,4.31576668003,3.59495400595,-2.22196092094,16.345948457717896,1.37684913958,0.735294117647
50,20,12,4.07357080906,3.97227520585,-2.22008831598,43.90342330932617,1.32031621322,0.735294117647
50,50,32,3.41161133328,3.26100490799,-2.22418042555,167.20681428909302,1.30632420822,0.735294117647
50,100,16,5.35075101204,4.36070906851,-2.22456048433,640.0872135162354,1.40504449262,0.745098039216
100,5,1,9.49421558071,0.0594064475393,-2.20684496929,6.988802194595337,1.35169252011,0.696078431373
100,10,3,3.47849471988,3.95631805317,-2.22290265648,18.66135597229004,1.33890904135,0.735294117647
100,20,9,3.2786242924,3.79414150534,-2.22284025669,55.02276110649109,1.344395935,0.735294117647
100,50,0,8.99720927357,0.0596232562177,-2.21029559006,310.55020022392273,1.40970028071,0.686274509804
100,100,47,3.98021756189,4.07646925959,-2.22186264125,1211.2225251197815,1.39554009515,0.735294117647
200,5,4,4.1084564085,4.18285903328,-2.22941717668,15.0149405002594,1.3782559815,0.735294117647
200,10,8,4.10450504569,3.72902142404,-2.22619090764,35.52157163619995,1.27861692201,0.725490196078
200,20,9,3.50791393275,3.73246293999,-2.22019483807,104.6269006729126,1.38867105446,0.725490196078
200,50,3,3.46695221742,3.91075900314,-2.21903528292,571.3314127922058,1.37668363286,0.735294117647
200,100,85,3.74850493399,3.88942070972,-2.21407719844,2048.928950071335,1.29467154858,0.735294117647
